date,region,category,orders,revenue,active_users,churned_users
2024-01-01,North India,Electronics,4,13416.45,7,0
2024-01-02,North India,Electronics,5,14274.01,7,0
2024-01-03,North India,Electronics,4,9760.63,6,0
2024-01-04,North India,Electronics,4,11606.75,7,0
2024-01-05,North India,Electronics,9,26511.73,13,0
2024-01-06,North India,Electronics,7,17252.33,13,0
2024-01-07,North India,Electronics,8,29287.81,12,0
2024-01-08,North India,Electronics,9,34957.16,12,0
2024-01-09,North India,Electronics,6,18947.36,8,0
2024-01-10,North India,Electronics,8,29596.21,12,0
2024-01-11,North India,Electronics,2,6762.59,3,0
2024-01-12,North India,Electronics,8,26641.25,12,0
2024-01-13,North India,Electronics,7,26903.73,12,0
2024-01-14,North India,Electronics,8,26038.63,13,0
2024-01-15,North India,Electronics,6,18672.16,9,0
2024-01-16,North India,Electronics,7,22222.44,10,0
2024-01-17,North India,Electronics,7,24355.25,10,0
2024-01-18,North India,Electronics,8,32491.5,13,0
2024-01-19,North India,Electronics,9,22614.67,15,0
2024-01-20,North India,Electronics,11,34997.92,17,0
2024-01-21,North India,Electronics,13,35495.3,20,1
2024-01-22,North India,Electronics,10,33835.6,16,0
2024-01-23,North India,Electronics,3,10477.05,5,0
2024-01-24,North India,Electronics,4,11812.68,6,0
2024-01-25,North India,Electronics,6,23787.9,8,0
2024-01-26,North India,Electronics,3,10870.41,5,0
2024-01-27,North India,Electronics,8,23284.53,11,0
2024-01-28,North India,Electronics,6,21381.07,9,0
2024-01-29,North India,Electronics,8,17493.61,11,0
2024-01-30,North India,Electronics,11,34426.36,15,0
2024-01-31,North India,Electronics,3,9440.93,5,0
2024-02-01,North India,Electronics,10,31564.45,17,0
2024-02-02,North India,Electronics,8,29327.55,14,0
2024-02-03,North India,Electronics,12,39488.14,20,0
2024-02-04,North India,Electronics,5,16374.04,8,0
2024-02-05,North India,Electronics,3,10942.41,4,0
2024-02-06,North India,Electronics,5,16289.31,8,0
2024-02-07,North India,Electronics,6,17561.51,9,0
2024-02-08,North India,Electronics,7,23024.99,11,0
2024-02-09,North India,Electronics,5,18928.55,9,0
2024-02-10,North India,Electronics,13,49653.67,20,1
2024-02-11,North India,Electronics,16,44976.7,23,1
2024-02-12,North India,Electronics,7,19504.44,12,0
2024-02-13,North India,Electronics,2,7281.69,3,0
2024-02-14,North India,Electronics,1,2981.12,1,0
2024-02-15,North India,Electronics,10,23082.09,15,0
2024-02-16,North India,Electronics,4,13193.3,5,0
2024-02-17,North India,Electronics,7,21668.27,10,0
2024-02-18,North India,Electronics,7,20323.9,12,0
2024-02-19,North India,Electronics,6,18614.21,9,0
2024-02-20,North India,Electronics,6,19528.32,9,0
2024-02-21,North India,Electronics,6,16213.85,10,0
2024-02-22,North India,Electronics,5,17027.24,9,0
2024-02-23,North India,Electronics,3,9012.53,4,0
2024-02-24,North India,Electronics,12,28304.35,21,0
2024-02-25,North India,Electronics,7,17479.11,11,0
2024-02-26,North India,Electronics,6,16700.33,10,0
2024-02-27,North India,Electronics,7,16218.37,12,0
2024-02-28,North India,Electronics,7,22274.0,12,0
2024-02-29,North India,Electronics,11,37613.99,20,0
2024-03-01,North India,Electronics,7,19421.42,12,0
2024-03-02,North India,Electronics,9,35086.23,15,0
2024-03-03,North India,Electronics,10,40262.72,16,0
2024-03-04,North India,Electronics,11,37684.14,20,1
2024-03-05,North India,Electronics,5,17483.88,7,0
2024-03-06,North India,Electronics,6,21217.43,8,0
2024-03-07,North India,Electronics,3,10397.42,5,0
2024-03-08,North India,Electronics,7,19991.66,10,0
2024-03-09,North India,Electronics,8,30597.76,14,0
2024-03-10,North India,Electronics,6,14987.43,9,0
2024-03-11,North India,Electronics,4,12819.78,7,0
2024-03-12,North India,Electronics,4,13354.67,5,0
2024-03-13,North India,Electronics,7,20381.04,11,0
2024-03-14,North India,Electronics,8,19352.82,12,0
2024-03-15,North India,Electronics,6,17028.31,11,0
2024-03-16,North India,Electronics,5,13426.11,9,0
2024-03-17,North India,Electronics,7,30038.82,12,0
2024-03-18,North India,Electronics,6,16616.74,10,0
2024-03-19,North India,Electronics,3,9082.3,4,0
2024-03-20,North India,Electronics,4,13765.13,6,0
2024-03-21,North India,Electronics,6,21198.2,11,0
2024-03-22,North India,Electronics,11,32200.11,19,1
2024-03-23,North India,Electronics,12,35696.36,20,0
2024-03-24,North India,Electronics,10,30792.01,18,0
2024-03-25,North India,Electronics,13,45507.76,19,0
2024-03-26,North India,Electronics,3,7473.36,5,0
2024-03-27,North India,Electronics,7,24495.56,11,0
2024-03-28,North India,Electronics,6,20336.94,9,0
