SessionID,Date,PagePath,Source,DeviceCategory,SessionDurationSec,PageViews,Converted,BounceRate
SESS-5001,2026-06-10,/landing,Google Search,Mobile,145,3,Yes,0.0
SESS-5002,2026-06-10,/courses,Direct,Desktop,420,8,Yes,0.0
SESS-5003,2026-06-10,/blog/python,LinkedIn,Mobile,45,1,No,1.0
SESS-5004,2026-06-11,/register,Google Ads,Desktop,210,4,Yes,0.0
SESS-5005,2026-06-11,/pricing,Direct,Desktop,60,2,No,0.0
SESS-5006,2026-06-11,/landing,Facebook,Mobile,15,1,No,1.0
SESS-5007,2026-06-12,/courses/data-science,Google Search,Desktop,310,6,Yes,0.0
SESS-5008,2026-06-12,/blog/ai-trends,Twitter,Mobile,30,1,No,1.0
SESS-5009,2026-06-12,/contact,Direct,Desktop,180,3,No,0.0
SESS-5010,2026-06-12,/landing,Google Ads,Mobile,290,5,Yes,0.0
